data,t,greenwald_density,greenwald_fraction
,0.025,,
,0.03,,
,0.045,,
,0.05,,
,0.055,,
,0.06,,
,0.065,,
,0.07,,
8.930434095456991e+18,0.075,6.522310676230889e+19,0.13692132341996485
9.420138854069709e+18,0.08,6.6133642543281775e+19,0.14244094974663782
9.539259438260494e+18,0.085,6.497709867030777e+19,0.14680956265318135
9.684723337853497e+18,0.09,6.4907557165710885e+19,0.14920794682086272
9.95924373188529e+18,0.095,6.35621334784845e+19,0.156685170664645
1.0399275132610116e+19,0.1,6.2237246086621315e+19,0.16709086257024428
1.0001712958185198e+19,0.105,6.156509480261624e+19,0.1624575254899172
1.0197433048133663e+19,0.11,6.272205022471971e+19,0.16258130930985895
1.0591820618544202e+19,0.115,6.4828371225979085e+19,0.16338248853458273
1.0675766773567599e+19,0.12,6.513168297432197e+19,0.16391050078924718
1.123621799208532e+19,0.125,6.612279992692545e+19,0.16992955538033547
1.1343154113741754e+19,0.13,6.672036779536642e+19,0.17001036547837362
1.1913654293427462e+19,0.135,6.706320078447156e+19,0.17764816104909298
1.2390581961770672e+19,0.14,6.865570559715818e+19,0.18047417696750825
1.2481912062848123e+19,0.145,6.877050242092379e+19,0.1815009578736251
1.2816567832966083e+19,0.15,6.951355866278055e+19,0.18437507846693543
1.343075782736994e+19,0.155,6.91399996519566e+19,0.19425452552760988
1.3317363391142603e+19,0.16,6.883190246909017e+19,0.19347661350959944
1.3365762987960044e+19,0.165,6.854530143390495e+19,0.19499167278224064
1.3852894713570677e+19,0.17,6.785590290667161e+19,0.20415165254854573
1.433685811444275e+19,0.175,6.802358488324989e+19,0.21076304841988788
1.3979702819320349e+19,0.18,6.694362018709474e+19,0.20882800751213823
1.4353142205547753e+19,0.185,6.606514938873482e+19,0.21725739422902446
1.5122234526531854e+19,0.19,6.6235092975428346e+19,0.22831151655727042
1.530004505059593e+19,0.195,6.575230058831223e+19,0.2326921630680643
1.5279497436028256e+19,0.2,6.670399011209284e+19,0.2290642195519608
1.5484686927939121e+19,0.205,6.531628566894627e+19,0.23707237436039788
1.563288281709165e+19,0.21,6.493038417127591e+19,0.24076375054018806
1.5913915481729284e+19,0.215,6.393650668288986e+19,0.24890186072658907
1.5860508652571288e+19,0.22,6.369000433272975e+19,0.24902665369141302
1.6059224617049248e+19,0.225,6.38997389829159e+19,0.2513190957062095
1.637417309470715e+19,0.23,6.352465387729908e+19,0.25776091793171596
1.6720270141813352e+19,0.235,6.278449264091782e+19,0.26631210094252544
1.6750917007439888e+19,0.24,6.2694128902444425e+19,0.2671847795110967
1.705027082479403e+19,0.245,6.276854245419137e+19,0.2716371952915325
1.700931988387902e+19,0.25,6.227704103861242e+19,0.27312344324986576
1.7186013587784638e+19,0.255,6.166588860472383e+19,0.27869562859859814
1.7410942846102856e+19,0.26,6.194375640315541e+19,0.2810766388267655
1.7359542972150143e+19,0.265,6.166293435329061e+19,0.2815231411578739
1.7662301261852146e+19,0.27,6.117496171716839e+19,0.28871781470842056
1.7825681330576513e+19,0.275,6.076490144242297e+19,0.2933548957940303
1.8107196844311593e+19,0.28,6.10689084024061e+19,0.29650434759692174
1.8009250400239716e+19,0.285,6.040378526002337e+19,0.2981477124771956
1.8608960421592973e+19,0.29,6.0376212850155586e+19,0.30821675529363746
