t,pohm,pss,psw,pdw_dt,prad_core,psol
0.07,0.0,0.0,0.0,42601.33475217258,190251.95275533086,-232853.28750750344
0.08,2.2976500340202455e-10,0.0,0.0,25775.023307705378,197251.87510309575,-223026.8984108009
0.085,2069539.1674082777,0.0,0.0,4421.54895051216,197081.54715691457,1868036.071300851
0.09,2192569.9611056987,0.0,0.0,-132383.74277227107,194596.95546404328,2130356.7484139265
0.095,1963544.1788123378,0.0,0.0,-138572.69822017147,190036.858087934,1912080.0189445752
0.1,1623710.727506118,0.0,0.0,279299.9742803373,183712.8928144744,1160697.8604113061
0.105,1088850.164411127,0.0,0.0,546905.3499289281,175987.93201772263,365956.8824644764
0.11,1128457.7325590488,0.0,0.0,339795.93557350937,167277.6864313255,621384.1105542139
0.115,1181363.6302554961,0.0,0.0,178065.32067701226,158079.39461552308,845218.9149629609
0.12,1149444.6240616562,0.0,0.0,57880.92489703463,148919.11993071085,942644.5792339107
0.125,1208542.3128933809,-0.0,-0.0,-99540.78798114654,140163.4843697381,1167919.6165047893
0.13,1204100.5762669137,-0.0,-0.0,-44945.26076810868,132314.16541694588,1116731.6716180765
0.135,1267859.9019161486,-0.0,-0.0,71713.87365494628,125748.43583039795,1070397.5924308044
0.14,1353581.0450972938,1.3145040611561913e-10,6.572520305780956e-11,305346.67838331097,120838.35982771759,927396.0068862655
0.145,1275257.5106776762,1184000.0000000058,592000.0000000029,429571.6859423867,117758.3654377608,2503927.4592975373
0.15,1726036.593920919,1139200.0000000054,569600.0000000027,-147757.83987955647,116802.16415147392,3465792.26964901
0.155,2382065.615029757,1047200.000000003,523600.0000000015,-731668.1781312273,118097.04620647078,4566436.746954518
0.16,2231577.5702089122,1072799.999999995,536399.9999999976,-212572.43350727684,121699.07329221613,3931650.930423965
0.165,1709554.2964933042,985600.0000000031,492800.0000000016,566117.2388089622,127644.66209631211,2494192.3955880348
0.17,1174234.6587131582,1037600.0000000042,518800.0000000021,962995.0184937355,135913.48098173717,1631726.159237692
0.175,890564.1093094047,988800.0000000066,494400.0000000033,1062289.687741806,146432.1942659438,1165042.2273016649
0.18,847248.8326494228,1024000.0000000014,512000.0000000007,920943.3081912033,159057.2153931648,1303248.309065057
0.185,920542.920600468,960000.0000000058,480000.0000000029,724129.1881361376,173548.58635600514,1462865.146108334
0.19,1020819.07172651,1007200.0000000092,503600.0000000046,640990.2749295001,189672.78961201795,1700956.0071850058
0.195,939207.2668692305,974400.0000000058,487200.0000000029,787249.0834213648,207157.72992428436,1406400.4535235902
0.2,802901.6727116235,1013600.0000000014,506800.0000000007,915445.261882119,225706.80132109986,1182149.6095084068
0.205,657303.6153325256,954400.0000000086,477200.0000000043,1239648.376380412,244867.8662117233,604387.3727404033
0.21,610198.7100948156,1000000.0000000151,500000.00000000757,1090132.5329312482,264306.36903311755,755759.8081304725
0.215,674954.8510354183,971200.0000000072,485600.0000000036,797559.0260150679,283579.6111218264,1050616.213898535
0.22,640410.9831036248,1010400.0000000017,505200.0000000009,965565.570758664,302304.25443153037,888141.1579134329
0.225,640509.4931449507,952800.0000000072,476400.0000000036,851898.6391429924,320056.48936913325,897754.3646328358
0.23,653270.56691359,998399.999999994,499199.999999997,662978.4355850614,336424.83081738965,1151467.3005111297
0.235,663174.63360773,970400.0000000006,485200.0000000003,636366.756515378,351088.5953062137,1131319.2817861391
0.24,557930.6651063872,1009600.0000000005,504800.00000000023,715158.1104477616,363633.41843875713,993539.1362198691
0.245,573462.0551827387,952800.0000000006,476400.0000000003,612108.6140894139,373910.58486698696,1016642.8562263388
0.25,587134.4138278692,996000.0000000006,498000.0000000003,562892.5046532223,381561.4062552118,1136680.502919436
0.255,526905.8581988942,971200.0000000006,485600.0000000003,463746.29292251467,386514.0657091777,1133445.4995672028
0.26,523997.06735810195,1011200.0000000006,505600.0000000003,428569.469458224,388699.72048122773,1223527.877418651
0.265,456260.116535972,953600.0000000005,476800.00000000023,526566.2325267604,388049.8375461861,972044.0464630262
0.27,473688.3475015382,1002400.0000000005,501200.00000000023,386416.51346774,384612.66645741963,1206259.1675763794
0.275,371742.9119444643,974400.0000000005,487200.00000000023,422135.83569976746,378546.2286019959,1032660.8476427016
0.28,323258.9383662941,1013600.0000000005,506800.00000000023,373379.2297831042,370053.00224949693,1100226.7063336936
0.285,401492.91202745325,956800.0000000058,478400.0000000029,256127.37065536625,359314.2104968716,1221251.330875224
0.29,406036.6015641052,1004000.000000012,502000.000000006,156194.06200347428,346675.16498361155,1409167.3745770373
0.295,363632.12374140543,978400.000000005,489200.0000000025,-143372.09554190797,332451.3976512216,1642152.8216320993
0.3,803040.3182008573,1017600.0000000104,508800.0000000052,-2725078.5169939785,316986.60042917146,4737532.2347656805
