data,t,greenwald_density,greenwald_fraction
,0.015,,
,0.02,,
,0.025,,
,0.03,,
,0.045,,
,0.055,,
,0.06,,
,0.065,,
8.790885461839419e+18,0.07,6.632155234119095e+19,0.13254945265175255
8.442634636553143e+18,0.075,6.6097271326897046e+19,0.1277304564480194
8.639670183646301e+18,0.08,6.716428186869606e+19,0.12863489258377792
8.881783723526892e+18,0.085,6.541909493143541e+19,0.13576745035735713
8.817720117136267e+18,0.09,6.572909284558239e+19,0.13415246940729533
8.884501648200733e+18,0.095,6.421145151545541e+19,0.13836319594896984
9.05804788292619e+18,0.1,6.284280058438512e+19,0.14413819560385555
9.15193284810558e+18,0.105,6.132361347019755e+19,0.14923994739079255
9.292757097689733e+18,0.11,6.353845449033692e+19,0.1462540625551885
9.417841307171387e+18,0.115,6.4491333859463135e+19,0.14603266429090087
9.894779607774355e+18,0.12,6.6166001952198435e+19,0.14954477096746496
1.0106768711310772e+19,0.125,6.660657626571319e+19,0.15173830089977758
1.0583659678963069e+19,0.13,6.750712268939125e+19,0.15677841474091284
1.101425736672324e+19,0.135,6.8008870190556e+19,0.16195324721410717
1.1046079026633142e+19,0.14,6.881413803687101e+19,0.16052048811124525
1.1555509449336963e+19,0.145,6.9948784137848594e+19,0.1651995755432208
1.1609961382913776e+19,0.15,7.049471044976318e+19,0.16469266004273345
9.307733424819263e+18,0.155,7.562228413305797e+19,0.12308188692690421
9.531869561945962e+18,0.16,7.229906311232417e+19,0.13183946169727268
1.0237470119341214e+19,0.165,7.189540088086794e+19,0.14239395001503502
1.0866107842832083e+19,0.17,7.193636449436726e+19,0.15105166794581226
1.1238318681518457e+19,0.175,7.142671013286756e+19,0.15734056154361584
1.1650701006924143e+19,0.18,7.060185819865101e+19,0.16501975024712243
1.2021558318226203e+19,0.185,6.968864808597531e+19,0.17250382448795867
1.2408447304617585e+19,0.19,6.951835622083678e+19,0.178491667225273
1.2563192432559256e+19,0.195,6.886629075453854e+19,0.18242876587238432
1.2767941939910377e+19,0.2,6.822188417625176e+19,0.18715317077617355
