t,pohm,pss,psw,pdw_dt,prad_core,psol
0.07,1.8489946272815119e-10,0.0,0.0,-174456.80525253943,144939.29666759056,29517.508584949042
0.075,1665426.3028870139,0.0,0.0,-173531.2703850704,147507.24882724497,1691450.3244448395
0.08,1164052.6136310445,0.0,0.0,33256.946817660406,148980.20336360086,981815.4634497833
0.085,955933.9755510293,0.0,0.0,48083.46987236784,149410.40627993454,758440.099398727
0.09,898763.5430828778,0.0,0.0,46485.30545955724,148939.31299267325,703338.9246306473
0.095,782833.6603023929,0.0,0.0,123884.03609435186,147667.8745874311,511281.74962061
0.1,828735.620820184,0.0,0.0,26021.663619551407,145752.28195702352,656961.675243609
0.105,843888.2329511858,0.0,0.0,21046.11803399714,143294.02923851702,679548.0856786716
0.11,884311.3449229796,0.0,0.0,51140.22488852628,140440.7809195724,692730.339114881
0.115,923679.0995630892,0.0,0.0,146860.09471494722,137350.97003660322,639468.0348115386
0.12,961023.3053457179,0.0,0.0,157425.1114132731,134119.3107410875,669478.8831913574
0.125,961406.3762821739,-0.0,-0.0,81818.81603026066,130836.80468639923,748750.7555655141
0.13,944092.1658412569,-0.0,-0.0,109884.03142598504,127637.02793529278,706571.106479979
0.135,914766.8122525013,-0.0,-0.0,148287.0611155918,124538.36960106542,641941.3815358441
0.14,938541.0354107344,0.0,0.0,88900.32465527876,121641.03155407684,727999.6792013787
0.145,970096.7050299178,0.0,0.0,25017.876512426967,118991.76347596303,826087.0650415277
0.15,1009850.571634793,0.0,0.0,-315272.7028500631,116622.38478585776,1208500.8896989983
0.155,1146402.6382889333,0.0,0.0,-301623.2915407007,114568.46127605895,1333457.4685535752
0.16,1122469.9414426463,0.0,0.0,58974.02627440391,112839.53785748222,950656.3773107602
0.165,989008.0920247532,0.0,0.0,125413.9301688307,111449.47103948517,752144.6908164374
0.17,910066.1668984962,0.0,0.0,174573.14140124203,110451.25815417626,625041.7673430779
0.175,832597.6781535153,0.0,0.0,174620.02143705214,109814.17953057485,548163.4771858883
0.18,778435.3520358824,0.0,0.0,100751.32596397721,109515.49210703555,568168.5339648696
0.185,771513.7577159591,0.0,0.0,67138.86048446663,109564.24229638903,594810.6549351034
0.19,757082.6637575574,0.0,0.0,59603.06107628783,109979.0159647408,587500.5867165287
0.195,749237.2427905989,0.0,0.0,54937.32672777903,110742.75909546835,583557.1569673516
0.2,768987.9491940796,0.0,0.0,27493.23354425895,111829.24916431612,629665.4664855045
0.205,715301.9473191025,0.0,0.0,116779.42506317332,113213.20366017552,485309.31859575363
0.21,721244.8992189008,0.0,0.0,176444.67702859538,114947.86153246547,429852.36065784004
0.215,735454.7219983324,0.0,0.0,40992.92782393185,116942.46670457932,577519.3274698213
0.22,717038.1009032483,0.0,0.0,28324.75893903392,119226.23509462086,569487.1068695935
0.225,728757.8778958244,0.0,0.0,56876.68107181778,121750.15958547524,550131.0372385314
0.23,719011.5127563763,0.0,0.0,78961.11309284733,124505.31006605393,515545.0895974751
0.235,738647.2664862119,0.0,0.0,51906.66094847996,127415.69565708356,559324.9098806484
0.24,749396.3071766974,-0.0,-0.0,24096.232193067946,130428.07310572201,594872.0018779075
0.245,736371.0803415551,-0.0,-0.0,40502.17528521041,133495.34100271572,562373.564053629
0.25,709566.2130711597,-0.0,-0.0,70781.90515915555,136572.12500099005,502212.182911014
0.255,734437.8798440893,-0.0,-0.0,36068.051406726576,139635.3308417759,558734.4975955868
0.26,762769.4806641118,-0.0,-0.0,-3850.3672042044755,142548.61534043498,624071.2325278813
0.265,747933.6317692924,-0.0,-0.0,31003.752484421402,145342.03929976173,571587.8399851093
0.27,752329.738530752,-0.0,-0.0,21915.475007789064,147988.76023863986,582425.503284323
0.275,744369.6580289934,-0.0,-0.0,94527.1963276827,150473.293778289,499369.1679230217
0.28,762651.8811718288,0.0,0.0,95143.71622204846,152737.4993897783,514770.66556000203
0.285,808568.4076259129,0.0,0.0,-6304.592032589625,154835.22019647647,660037.7794620261
0.29,786922.8299903839,0.0,0.0,27274.989334691225,156806.75172862044,602841.0889270724
0.295,744621.265042595,0.0,0.0,79087.3746853476,158638.89450089377,506894.9958563536
0.3,759536.4401732867,0.0,0.0,77701.56680508258,160331.43217946222,521503.44118874194
0.305,764986.018193555,0.0,0.0,64877.30084450555,161943.57607697052,538165.1412720789
0.31,762274.0477556353,0.0,0.0,-8950.746133706145,163517.93673839016,607706.8571509514
0.315,774416.4972319063,0.0,0.0,30949.986011107816,165045.67251713356,578420.838703665
0.32,746841.7460187511,0.0,0.0,83617.21153975445,166544.20550730033,496680.32897169626
0.325,731081.3598682362,0.0,0.0,53338.27297819805,168024.95748659119,509718.129403447
0.33,754126.8676978961,0.0,0.0,60894.798521358076,169486.48141031925,523745.5877662188
0.335,740395.7011188177,0.0,0.0,89959.67698403705,170969.0131207019,479467.01101407874
0.34,704175.0950652976,0.0,0.0,40069.12797913594,172360.21767404297,491745.7494121186
0.345,681244.6741650167,0.0,0.0,-32894.11309074309,173723.56298435174,540415.224271408
0.35,659345.4533194504,0.0,0.0,22452.318904112133,175036.98623919845,461856.14817613974
0.355,713631.964508844,0.0,0.0,57811.29085784574,176247.5803827101,479573.0932682881
0.36,749622.6732057759,0.0,0.0,-43051.236856925025,177309.24638479596,615364.663677905
0.365,725217.0179444237,-0.0,-0.0,11746.548500160847,178231.1863425824,535239.2831016806
0.37,706418.7807813564,-0.0,-0.0,-1025.2924183379946,178984.43640706575,528459.6367926287
0.375,707102.968827142,-0.0,-0.0,-17915.20328863478,179554.10937459307,545464.0627411837
0.38,742865.3221664014,-0.0,-0.0,91403.18214609336,179952.7188803636,471509.42113994446
0.385,739920.7310048272,-0.0,-0.0,52188.394946820685,180194.5165144518,507537.8195435547
0.39,679809.0426322375,-0.0,-0.0,66617.08462115453,180344.2352130513,432847.7227980317
0.395,677821.8166648439,-0.0,-0.0,-21197.048088364667,180404.4375955266,518614.427157682
0.4,706780.6117490836,-0.0,-0.0,-67544.64092716912,180463.68749720778,593861.565179045
0.405,687157.2347618339,0.0,0.0,78262.72928018263,180583.56255067993,428310.9429309714
0.41,696436.2472048987,0.0,0.0,56907.59052629138,180820.82862391986,458707.8280546875
0.415,711804.0376595478,0.0,0.0,-27512.628668530277,181267.828722065,558048.837606013
0.42,711297.2176281514,0.0,0.0,50237.40992758246,181919.86081309605,479139.9468874729
0.425,639779.8295565181,0.0,0.0,82054.97725652017,182858.87322780665,374865.9790721913
0.43,583613.4162131627,0.0,0.0,56398.11009985349,184080.35745422385,343134.9486590854
0.435,597182.5260472146,0.0,0.0,60730.04358355899,185533.88963438635,350918.5928292693
0.44,615836.763493888,0.0,0.0,16911.757751034744,187240.7041280543,411684.3016147989
0.445,601669.2182495634,0.0,0.0,-8765.685570388803,189124.83107829257,421310.0727416596
0.45,552347.4023445653,0.0,0.0,35013.5140409271,191107.16179231225,326226.72651132586
0.455,573928.0798174186,0.0,0.0,48229.399185086695,193148.11957694433,332550.56105538754
0.46,588948.0337433898,0.0,0.0,-35988.49582242908,195092.35632685505,429844.1732389638
0.465,578144.2848456667,0.0,0.0,-30332.4684052395,196896.98322249722,411579.770028409
0.47,595342.3342739276,0.0,0.0,-21949.92957621955,198519.23473938162,418773.02911076555
0.475,573056.5175037498,0.0,0.0,-30803.646522670144,199870.3917647498,403989.7722616702
0.48,574446.0729383872,0.0,0.0,46299.32652743406,200884.79798457996,327261.9484263732
0.485,609852.424580157,0.0,0.0,14879.273441549956,201558.7333829793,393414.4177556278
0.49,560201.4007412058,0.0,0.0,12543.887390315278,201972.9214550466,345684.59189584386
0.495,578607.7368244372,0.0,0.0,-9860.264891863695,202135.92181912434,386332.0798971765
0.5,596178.6217555767,0.0,0.0,-53156.429505530075,202100.3437500695,447234.70751103724
0.505,570801.7050114254,0.0,0.0,-21503.231015394693,201945.75019666282,390359.18583015725
0.51,609740.0148142296,0.0,0.0,6146.096169606602,201840.17109281893,401753.747551804
0.515,611733.2800567653,0.0,0.0,8221.711018702621,201789.5153456497,401722.053692413
0.52,585770.9406985163,0.0,0.0,-8217.993250677677,201956.68980333742,392032.24414585653
0.525,613898.99463726,0.0,0.0,-11902.469866675892,202379.5521342372,423421.9123696987
0.53,629786.6097954137,0.0,0.0,-67722.44506531456,203149.56565107292,494359.4892096553
0.535,582582.2803017673,0.0,0.0,-17116.063368632593,204286.33757606533,395412.00609433453
0.54,584772.8523632617,0.0,0.0,58384.92827515288,205743.63313302308,320644.29095508583
0.545,621351.8118839524,0.0,0.0,-24252.092540782152,207510.837423216,438093.06700151856
0.55,589667.5151653189,0.0,0.0,7939.812413171238,209557.9165255179,372169.7862266297
0.555,603729.3068077601,0.0,0.0,66380.92693300528,211776.9967584888,325571.38311626605
0.56,627306.5028919763,0.0,0.0,43353.214895580546,214023.07728351472,369930.210712881
0.565,599053.598384863,0.0,0.0,-60354.2887904935,216260.0792934298,443147.8078819267
0.57,612277.8855396643,0.0,0.0,-48813.87686226113,218351.9554648392,442739.8069370862
0.575,637933.9638589919,0.0,0.0,29766.234593797686,220205.56449083734,387962.1647743568
0.58,620343.6863532333,0.0,0.0,6933.168294985809,221720.7069576878,391689.81110055966
0.585,590169.1771776775,0.0,0.0,22522.821743012155,222857.12901594158,344789.22641872376
0.59,636861.1735035446,0.0,0.0,-34729.72728612947,223607.37558998822,447983.52519968594
0.595,641251.8651909279,0.0,0.0,-4383.774933852326,223982.18845641587,421653.4516683643
0.6,616622.2711757058,0.0,0.0,24164.01605962999,224009.28028524996,368448.97483082593
0.605,625906.7355770736,0.0,0.0,-23307.49731263129,223760.98366874128,425453.2492209636
